word,memory,syn,ant,type,day,def,syn_def,ant_def
Option,選擇,Choice,,Core,65,One of a set of choices that can be made.,An option; a decision; an opportunity to choose or select something.,
Limit,限制/限度,Border,Endless,Core,65,A restriction; a bound beyond which one may not go.,The outer edge of something.,Having no end.
Magnanimous,寬宏大量,Noble,Mean,Elite,65,Noble and generous in spirit.,An aristocrat; one of aristocratic blood.,To lament.
Subdued,被壓制的/柔和的,Quiet,Loud,Elite,65,"To overcome, quieten, or bring under control.",The absence of sound; quietness.,A loud sound or part of a sound.
Arouse,喚醒/激起,Waken,Lull,Core,66,To stimulate feelings.,To wake or rouse from sleep.,A period of rest or soothing.
In front,在前面。兩個字,Ahead,Behind,Core,66,at or in the front,In or to the front; in advance; onward.,"The rear, back-end"
Vast,巨大的,Huge,Tiny,Core,66,A vast space.,Very large.,A small child; an infant.
Counterfeit,偽造。-ei-拼寫,Fake,Genuine,Elite,66,A non-genuine article; a fake.,"Something which is not genuine, or is presented fraudulently.","Belonging to, or proceeding from the original stock; native"
Chronological,按時間順序,Timed,Random,Elite,66,"Relating to time, or units of time.","To measure or record the time, duration, or rate of.",A roving motion; course without definite direction; lack of rule or method; chance.
Confine,限制/禁閉,Limit,Free,Core,67,(chiefly in the plural) A boundary or limit.,A restriction; a bound beyond which one may not go.,Free transfer
Justice,正義/司法,Fairness,Injustice,Core,67,The state or characteristic of being just or fair.,The property of being fair or equitable.,Absence of justice; unjustice.
Poultry,家禽,Birds,,Core,67,"Domestic fowl (e.g. chickens, ducks, turkeys, and geese) raised for food (either meat or eggs).","A member of the class of animals Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, and laying eggs.",
Belligerent,好鬥的/挑釁的,Hostile,Peaceful,Elite,67,A state or other armed participant in warfare,(chiefly in the plural) An enemy.,Not at war or disturbed by strife or turmoil.
Unorthodox,非正統的,Unusual,Standard,Elite,67,"Unusual, unconventional, or idiosyncratic",Something that is unusual; an anomaly.,A principle or example or measure used for comparison.
Ventilation,通風/空氣流通,Airflow,,Core,68,The replacement of stale or noxious air with fresh.,"Any flow of air, especially the motion of air around a moving aircraft or aerofoil.",
Familiar,熟悉。-liar結尾,Known,Strange,Core,68,"An attendant spirit, often in animal or demon form.",To perceive the truth or factuality of; to be certain of or that.,Vagina
Curiosity,好奇心。無中間-u-,Inquiry,Indifference,Core,68,"(uncountable) Inquisitiveness; the tendency to ask and learn about things by asking questions, investigating, or exploring.",The act of inquiring; a seeking of information by asking questions; interrogation; a question or questioning.,The state of being indifferent.
Thorough,徹底。注意-ough拼寫,Complete,Partial,Elite,68,"A furrow between two ridges, to drain off the surface water.",A completed survey.,A partial derivative: a derivative with respect to one independent variable of a function in multiple variables while holding the other variables constant.
Exaggerate,誇張。雙G,Overstate,Understate,Elite,68,"To overstate, to describe more than is fact.",To exaggerate; to state or claim too much.,To state (something) with less completeness than needed; to minimise or downplay.
Assemble,集合。雙S,Gather,Scatter,Core,69,To put together.,"A plait or fold in cloth, made by drawing a thread through it; a pucker.",The act of scattering or dispersing.
Suspend,暫停/懸掛,Hang,Continue,Core,69,To halt something temporarily.,The way in which something hangs.,"An option allowing a gamer to resume play after game over, when all lives have been lost."
Supposed,假設的/應當的,Assumed,,Core,69,"To take for granted; to conclude, with less than absolute supporting data; to believe.","To authenticate by means of belief; to surmise; to suppose to be true, especially without proof",
Acknowledge,承認。有Know在裡面,Admit,Deny,Elite,69,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration",To disallow or reject.
Illegible,字跡模糊。雙L,Unreadable,Clear,Elite,69,Not clear enough to be read; unreadable; not legible or decipherable.,That cannot be read or is not easy to read.,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
In fact,事實上。兩個字,Actually,Possibly,Core,70,in reality or actuality,(modal) In act or in fact; really; in truth; positively.,"(modifying a clause or predicate) Perhaps; indicates that the proposition may be true (is not certainly false) regardless of any facts or circumstances known to, stated by or implied by the speaker."
Loyal,忠誠的,Faithful,Treacherous,Core,70,Having or demonstrating undivided and constant support for someone or something.,(in the plural) The practicing members of a religion or followers of a cause.,Exhibiting treachery.
Companion,同伴/伴侶,Partner,Stranger,Core,70,"A friend, acquaintance, or partner; someone with whom one spends time or keeps company",Someone who is associated with another in a common activity or interest.,"Not normal; odd, unusual, surprising, out of the ordinary."
Covet,貪圖/渴望,Desire,Dislike,Elite,70,"To wish for with eagerness; to desire possession of, often enviously.",Someone or something wished for.,An attitude or a feeling of distaste or aversion.
Callous,冷酷,Heartless,Kind,Elite,70,Emotionally hardened; unfeeling and indifferent to the suffering/feelings of others.,"Without courage; fearful, cowardly.","A type, race or category; a group of entities that have common characteristics such that they may be grouped together."
Pigment,顏料/色素,Colour,,Core,71,Any color in plant or animal cells,The spectral composition of visible light,
Sturdy,強健的/堅固的,Strong,Weak,Core,71,"A disease in sheep and cattle, caused by a tapeworm and marked by great nervousness or by dullness and stupor.",Capable of producing great physical force.,Lacking in force (usually strength) or ability.
College,學院。注意字尾 -ege,School,,Core,71,A corporate group; a group of colleagues.,"(collective) A group of fish or a group of marine mammals such as porpoises, dolphins, or whales.",
Scripture,經文/聖典,Text,,Elite,71,A sacred writing or holy book.,"A writing consisting of multiple glyphs, characters, symbols or sentences.",
Unfathomable,深不可測的,Mysterious,Clear,Elite,71,Impossible to fathom or understand.,Of unknown origin.,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
Wither,枯萎,Fade,Bloom,Core,72,"To shrivel, droop or dry up, especially from lack of water.","A golf shot that (for the right-handed player) curves intentionally to the right. See slice, hook, draw.",A blossom; the flower of a plant; an expanded bud.
Stubborn,頑固的,Obstinate,Flexible,Core,72,Stubbornness.,"Stubbornly adhering to an opinion, purpose, or course, usually with implied unreasonableness; persistent.",Something that is flexible.
Rural,農村的/田園的,Country,Urban,Core,72,A person from the countryside; a rustic.,"(chiefly British) An area of land; a district, region.",Related to the (or any) city.
Precarious,危險,Unsafe,Secure,Elite,72,Dangerously insecure or unstable; perilous.,Not safe (various senses); dangerous.,"To make safe; to relieve from apprehensions of, or exposure to, danger; to guard; to protect."
Ostentatious,炫耀的/賣弄的,Showy,Modest,Elite,72,Of ostentation.,(sometimes derogatory) calling attention; flashy; standing out to the eye,"Not bragging or boasting about oneself or one's achievements; unpretentious, humble."
Desperate,絕望。中間是e,Hopeless,Confident,Core,73,"A person in desperate circumstances or who is at the point of desperation, such as a down-and-outer, addict, etc.",Without hope; despairing; not expecting anything positive.,A person in whom one can confide or share one's secrets: a friend.
Individual,個人/獨特的。注意-uid-,Single,Group,Core,73,"A person considered alone, rather than as belonging to a group of people.",A 45 RPM vinyl record with one song on side A and one on side B.,A number of things or persons being in some relation to one another.
Occur,雙C。發生,Happen,Cease,Core,73,To happen or take place.,To occur or take place.,Cessation; extinction (see without cease).
Captivate,著迷,Charm,Repel,Elite,73,To attract and hold interest and attention of; charm.,"An object, act or words believed to have magic power (usually carries a positive connotation).","To turn (someone) away from a privilege, right, job, etc."
Disastrous,災難性。無中間-e-,Terrible,Lucky,Elite,73,Of the nature of a disaster; calamitous.,"Dreadful; causing terror, alarm and fear; awesome",(of people) Favoured by luck; fortunate; having good success or good fortune
Compete,競爭,Contest,Surrender,Core,74,"To be in battle or in a rivalry with another for the same thing, position, or reward; to contend",Controversy; debate.,"An act of surrendering, submission into the possession of another; abandonment, resignation."
All right,沒問題。注意是兩個字,Fine,Wrong,Core,74,"Good; in acceptable, if not excellent condition.",Fine champagne; French brandy.,Something that is immoral or not good.
Passive,被動的,Inactive,Active,Core,74,(grammar) The passive voice of verbs.,"Not active, temporarily or permanently.",A person or thing that is acting or capable of acting.
Privilege,特權。兩個I兩個E,Right,Disadvantage,Elite,74,(ecclesiastical law) An exemption from certain laws granted by the Pope.,"Straight, not bent.",A weakness or undesirable characteristic; a con.
Prominent,著名的/顯眼的,Famous,Obscure,Elite,74,"Standing out, or projecting; jutting; protuberant",To make famous; to bring renown to.,"To render obscure; to darken; to make dim; to keep in the dark; to hide; to make less visible, intelligible, legible, glorious, beautiful, or illustrious."
Diligent,勤奮,Hardworking,Lazy,Core,75,Performing with industrious concentration; hard-working and focused.,"Of a person, taking their work seriously and doing it well and rapidly.",A lazy person.
Believe,相信。i 在 e 前,Trust,Doubt,Core,75,"To accept as true, particularly without absolute certainty (i.e., as opposed to knowing)",Confidence in or reliance on some person or quality.,Disbelief or uncertainty (about something); a particular instance of such disbelief or uncertainty.
Resolve,解決/下定決心,Settle,Hesitate,Core,75,Determination; will power.,To conclude or resolve (something):,To stop or pause respecting decision or action; to be in suspense or uncertainty as to a determination.
Clemency,仁慈/寬厚,Mercy,Severity,Elite,75,"The gentle or kind exercise of power; leniency, mercy; compassion in judging or punishing.",Relenting; forbearance to cause or allow harm to another.,The state of being severe.
Disperse,分散/散開,Scatter,Gather,Elite,75,To scatter in different directions,The act of scattering or dispersing.,"A plait or fold in cloth, made by drawing a thread through it; a pucker."
Abode,住處。與 Abide (居住) 相關,Dwelling,Office,Core,76,To endure without yielding; to withstand; await defiantly; to encounter; to persevere.,"A house or place in which a person lives; a habitation, a home.","A ceremonial duty or service, particularly:"
Composition,作文/結構,Creation,,Core,76,The act of putting together; assembly.,Something created such as an invention or artwork.,
Altitude,高度。Alti (高),Height,Depth,Core,76,"The absolute height of a location, usually measured from sea level.",The distance from the base of something to the top.,The vertical distance below a surface; the degree to which something is deep
Aggressive,兩個G兩個S都很兇,Hostile,Gentle,Elite,76,Characterized by aggression; unjustly attacking; prone to behave in a way that involves attacking or arguing.,(chiefly in the plural) An enemy.,A person of high birth.
Coincide,巧合,Match,Differ,Elite,76,To occupy exactly the same space.,"A competitive sporting event such as a boxing meet, a baseball game, or a cricket match.",Not to have the same traits or characteristics; to be unalike or distinct.
Interior,內部的,Inner,Exterior,Core,77,"The inside of a building, container, cavern, or other enclosed structure.",An inner part.,"The outside part, parts or surface of something."
Satin,緞子。形容平滑,Silky,Rough,Core,77,"A cloth woven from silk, nylon or polyester with a glossy surface and a dull back. (The same weaving technique applied to cotton produces cloth termed sateen).",A seal which can magically transform into a human by shedding its skin.,The unmowed part of a golf course.
Sincere,真誠的,Honest,Fake,Core,77,Genuine; meaning what one says or does; heartfelt.,"To adorn or grace; to honour; to make becoming, appropriate, or honourable.","Something which is not genuine, or is presented fraudulently."
Oath,誓言/宣誓,Pledge,,Elite,77,"A solemn pledge or promise, appealing to a deity, a ruler, or another entity (not necessarily present) to attest to the truth of a statement or sincerity of one's desire to fulfill a contract or promise.",A solemn promise to do something.,
Indispensable,不可或缺,Vital,Extra,Elite,77,A thing that is not dispensable; a necessity.,"Relating to, or characteristic of life.","Something additional, such as an item above and beyond the ordinary school curriculum, or added to the usual charge on a bill."
Address,地址/演講。雙D雙S,Speech,,Core,78,Direction.,The faculty of uttering articulate sounds or words; the ability to speak or to use vocalizations to communicate.,
Alert,警覺的,Watchful,Asleep,Core,78,An alarm.,"Observant, vigilant and aware","In a state of sleep; also, broadly, resting."
Concentrated,集中的/濃縮的,Focused,Diluted,Core,78,"To bring to, or direct toward, a common center; to unite more closely; to gather into one body, mass, or force.",(followed by on or upon) To concentrate one's attention.,"To make thinner by adding solvent to a solution, especially by adding water."
Din,嘈雜聲,Noise,Silence,Elite,78,A loud noise; a cacophony or loud commotion.,"Various sounds, usually unwanted or unpleasant.",The absence of any sound.
Plunder,搶劫/掠奪,Loot,Gift,Elite,78,An instance of plundering.,"A kind of scoop or ladle, chiefly used to remove the scum from brine-pans in saltworks.","Something given to another voluntarily, without charge."
Convince,說服,Persuade,Dissuade,Core,79,"To make someone believe, or feel sure about something, especially by using logic, argument or evidence.","To successfully convince (someone) to agree to, accept, or do something, usually through reasoning and verbal influence.",To convince not to try or do.
Pasture,牧場/草地,Meadow,,Core,79,"Land, specifically, an open field, on which livestock is kept for feeding.","A field or pasture; a piece of land covered or cultivated with grass, usually intended to be mown for hay.",
Prohibit,禁止,Forbid,Allow,Core,79,"To forbid, disallow, or proscribe officially; to make illegal or illicit.",To disallow; to proscribe.,"To grant, give, admit, accord, afford, or yield; to let one have."
Interrogate,審問/質問。雙R,Question,Ignore,Elite,79,"To question or quiz, especially in a thorough and/or aggressive manner","A sentence, phrase or word which asks for information, reply or response; an interrogative.",To deliberately not listen or pay attention to.
Veil,面紗/遮掩。e 在 i 前,Cover,Reveal,Elite,79,"Something hung up or spread out to hide or protect the face, or hide an object from view; usually of gauze, crepe, or similar diaphanous material.",A lid.,The outer side of a window or door frame; the jamb.
Plume,羽毛/羽飾,Feather,,Core,80,"A feather of a bird, especially a large or showy one used as a decoration.","A branching, hair-like structure that grows on the bodies of birds, used for flight, swimming, protection and display.",
Exciting,令人興奮的,Thrilling,Dull,Core,80,To stir the emotions of.,"To suddenly excite someone, or to give someone great pleasure; to (figuratively) electrify; to experience such a sensation.",To render dull; to remove or blunt an edge or something that was sharp.
Sanitary,衛生的/清潔的,Hygienic,Dirty,Core,80,Sanitary towel.,"Pertaining to hygiene; clean, sanitary.",To make (something) dirty.
Curb,控制/路邊。抑制情緒,Restrain,Release,Elite,80,"A concrete margin along the edge of a road; a kerb (UK, Australia, New Zealand)",To control or keep in check.,"The event of setting (someone or something) free (e.g. hostages, slaves, prisoners, caged animals, hooked or stuck mechanisms)."
Careering,猛衝/疾馳,Racing,Stopping,Elite,80,"To move rapidly straight ahead, especially in an uncontrolled way.",To take part in a race (in the sense of a contest).,To cease moving.
Oppress,壓迫/折磨。雙P雙S,Tyrannize,Free,Elite,81,To keep down by unjust force.,To oppress (someone).,Free transfer
Present,禮物/現在/出席,Gift,Absent,Core,81,The current moment or period of time.,"Something given to another voluntarily, without charge.","(with definite article) Something absent, especially absent people collectively; those who were or are not there."
Majestic,雄偉的/莊嚴的,Grand,Modest,Core,81,Having qualities of splendor or royalty.,"(plural ""grand"") A thousand of some unit of currency, such as dollars or pounds. (Compare G.)","Not bragging or boasting about oneself or one's achievements; unpretentious, humble."
Maximum,最大值的,Most,Minimum,Core,81,The highest limit,The greatest amount.,The lowest limit.
Restrain,抑制/克制,Control,Release,Elite,81,To control or keep in check.,Influence or authority over something.,"The event of setting (someone or something) free (e.g. hostages, slaves, prisoners, caged animals, hooked or stuck mechanisms)."
Moral,道德的/寓意,Ethical,Immoral,Core,82,(of a narrative) The ethical significance or practical lesson.,"An ethical drug, one only dispensed on the prescription of a physician.","Not moral; inconsistent with rectitude, purity, or good morals; contrary to conscience or the divine law."
Linger,逗留/緩緩流逝,Stay,Leave,Core,82,"To stay or remain in a place or situation, especially as if unwilling to depart or not easily able to do so; to loiter.",Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.,To have a consequence or remnant.
Especially,尤其。注意是-espe-,Particularly,,Core,82,(manner) In a special manner; specially.,"(focus) Especially, extremely.",
Acquainted,相識的。注意 -cq- 拼寫,Familiar,Stranger,Elite,82,(followed by with) To furnish or give experimental knowledge of; to make (one) to know; to make familiar.,"An attendant spirit, often in animal or demon form.","Not normal; odd, unusual, surprising, out of the ordinary."
Conferred,授予/商討。雙R,Granted,Taken,Elite,82,To grant as a possession; to bestow.,(ditransitive) to give (permission or wish),"To get into one's hands, possession or control, with or without force."
Definite,明確。注意中間是-i-,Certain,Vague,Core,83,(grammar) A word or phrase that designates a specified or identified person or entity.,"(with ""the"") Something certain.",A wandering; a vagary.
Clumsy,笨拙的,Awkward,Graceful,Core,83,A clumsy person.,Someone or something that is awkward.,"Having or showing grace in movement, shape, or proportion."
Margin,邊緣/餘裕,Edge,Center,Core,83,"The edge of the paper, typically left blank when printing but sometimes used for annotations etc.",The boundary line of a surface.,The point in the interior of a circle that is equidistant from all points on the circumference.
Bemused,困惑的,Confused,Clear,Elite,83,To confuse or bewilder.,"To puzzle, perplex, baffle, bewilder (somebody).","Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
Convey,傳達/運送,Transport,Receive,Elite,83,To move (something) from one place to another.,An act of transporting; conveyance.,An operation in which data is received.
Dispute,爭論/爭執,Argument,Agreement,Core,84,"An argument or disagreement, a failure to agree.",A fact or statement used to support a proposition; a reason.,An understanding between entities to follow a specific course of conduct.
System,系統。注意-y-拼寫,Method,Chaos,Core,84,A collection of organized things; a whole composed of relationships among its members.,"A process by which a task is completed; a way of doing something (followed by the adposition of, to or for before the purpose of the process):",The unordered state of matter in classical accounts of cosmogony.
Available,可得到的,Ready,Busy,Core,84,Such as one may avail oneself of; capable of being used for the accomplishment of a purpose.,Ready money; cash,A police officer.
Yacht,遊艇。注意-cht-拼寫,Boat,Car,Elite,84,"A slick and light ship for making pleasure trips or racing on water, having sails but often motor-powered. At times used as a residence offshore on a dock.","A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.","A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation."
Arduous,艱鉅的/費力的,Tough,Easy,Elite,84,Needing or using up much energy; testing powers of endurance.,A person who obtains things by force; a thug or bully.,Something that is easy
Accompany,陪伴。雙C,Escort,Leave,Core,85,To go with or attend as a companion or associate; to keep company with; to go along with.,"A group of people or vehicles, generally armed, who go with a person or people of importance to safeguard them on a journey or mission.",To have a consequence or remnant.
Temptation,誘惑,Lure,,Core,85,The act of tempting,"Something that tempts or attracts, especially one with a promise of reward or pleasure",
Accurate,雙C。看準紅心才準確,Precise,Wrong,Core,85,Telling the truth or giving a true result; exact; not defective or faulty,(NNES or European Union documents) To make or render precise; to specify.,Something that is immoral or not good.
Quaint,古雅的/奇特有趣的,Charming,Modern,Elite,85,"Of a person: cunning, crafty.","To seduce, persuade or fascinate someone or something.",Someone who lives in modern times.
Disclose,透露/揭發,Reveal,Hide,Elite,85,A disclosure.,The outer side of a window or door frame; the jamb.,To put (something) in a place where it will be harder to discover or out of sight.
Brief,簡短。i在e前,Short,Long,Core,86,A writ summoning one to answer to any action.,A short circuit.,A long vowel.
Compulsory,強制,Required,Optional,Core,86,Something that is compulsory or required.,To ask (someone) for something; to request.,"Something that is not compulsory, especially part of an academic course."
Intense,劇烈的/強烈的,Extreme,Mild,Core,86,Strained; tightly drawn.,"The greatest or utmost point, degree or condition.","A relatively low-gravity beer, often with a dark colour; mild ale"
Gullible,易受騙。雙L,Naive,Wise,Elite,86,A gullible person; someone easily fooled or tricked.,A naive person; a greenhorn.,To become wise.
Grieve,悲傷/哀悼。i在e前,Mourn,Rejoice,Elite,86,To cause sorrow or distress to.,"Sorrow, grief.","To be very happy, be delighted, exult; to feel joy."
Flawless,完美的/無瑕的,Perfect,Faulty,Core,87,"Without flaws, defects, or shortcomings; perfect.","(grammar) The perfect tense, or a form in that tense.",Having or displaying faults; not perfect; not adequate or acceptable.
Frequent,頻繁的。注意-que-,Often,Rare,Core,87,Done or occurring often; common.,Frequent.,A scarce or uncommon item.
Submit,提交/服從。雙M過去式,Yield,Resist,Core,87,To yield or give way to another.,"To pay, give in payment; repay, recompense; reward; requite.",A protective coating or covering.
Wretched,可憐的/惡劣的,Miserable,Happy,Elite,87,Very miserable; feeling deep affliction or distress.,A miserable person; a wretch.,"A happy event, thing, person, etc."
Futility,徒勞,Useless,Success,Elite,87,The quality of being futile or useless.,Without use or possibility to be used.,The achievement of one's aim or goal.
Contribute,貢獻。注意-ute字尾,Donate,Take,Core,88,To give something that is or becomes part of a larger whole.,To make a donation; to give away something of value to support or contribute towards a cause or for the benefit of another.,The or an act of taking.
Bicycle,自行車。注意中間是 y,Cycle,,Core,88,"A vehicle that has two wheels, one behind the other, a steering handle, and a saddle seat or seats and is usually propelled by the action of a rider’s feet upon pedals.",An interval of space or time in which one set of events or phenomena is completed.,
Surprise,驚訝。注意第一個 r,Astonish,Expected,Core,88,Something unexpected.,To surprise greatly.,To predict or believe that something will happen
Facade,正面/假象,Front,Back,Elite,88,"The face of a building, especially the front view or elevation.",The foremost side of something or the end that faces the direction it normally moves.,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly."
Derelict,荒廢的/被棄置的,Abandoned,Maintained,Elite,88,"Property abandoned by its former owner, especially a ship abandoned at sea.","To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.","To support (someone), to back up or assist (someone) in an action."
Sly,狡猾的,Cunning,Honest,Core,89,Artfully cunning; secretly mischievous; wily.,Sly; crafty; clever in surreptitious behaviour.,"To adorn or grace; to honour; to make becoming, appropriate, or honourable."
Consume,消耗/吃喝,Eat,Produce,Core,89,To use up.,Something to be eaten; a meal; a food item.,"To yield, make or manufacture; to generate."
Rowdy,吵鬧的/粗魯的,Noisy,Quiet,Core,89,A boisterous person; a brawler.,"Making a noise, especially a loud unpleasant sound",The absence of sound; quietness.
Ordeal,嚴峻考驗/磨難,Trial,Comfort,Elite,89,A painful or trying experience.,An opportunity to test something out; a test.,"Contentment, ease."
Expel,驅逐/開除。只有一個L,Banish,Welcome,Elite,89,To eject or erupt.,(heading) To send someone away and forbid that person from returning.,"The act of greeting someone’s arrival, especially by saying ""Welcome!""; reception."
Depot,倉庫/站。t不發音,Storehouse,,Core,90,"A storage facility, in particular, a warehouse.","A building for keeping goods of any kind, especially provisions",
Custom,習俗/海關,Tradition,Habit,Core,90,"Frequent repetition of the same behavior; way of behavior common to many; ordinary manner; habitual practice; method of doing, living or behaving.","A part of culture that is passed from person to person or generation to generation, possibly differing in detail from family to family, such as the way to celebrate holidays.",An action performed on a regular basis.
Stout,肥胖的/壯實的,Fat,Thin,Core,90,A dark and strong malt brew made with toasted grain.,"A specialized animal tissue with a high oil content, used for long-term storage of energy.","A loss or tearing of paper from the back of a stamp, although not sufficient to create a complete hole."
Persuade,說服。注意-ua-拼寫,Convince,Dissuade,Elite,90,"To successfully convince (someone) to agree to, accept, or do something, usually through reasoning and verbal influence.","To make someone believe, or feel sure about something, especially by using logic, argument or evidence.",To convince not to try or do.
Boisterous,喧鬧,Noisy,Quiet,Elite,90,Full of energy; exuberant; noisy.,"Making a noise, especially a loud unpleasant sound",The absence of sound; quietness.
Proclaim,宣佈/公告,Declare,Hide,Core,91,To announce or declare.,"To make clear, explain, interpret.",To put (something) in a place where it will be harder to discover or out of sight.
Column,柱子。末尾有-n,Pillar,,Core,91,"A solid upright structure designed usually to support a larger structure above it, such as a roof or horizontal beam, but sometimes for decoration.","A large post, often used as supporting architecture.",
Language,語言。注意-uage結尾,Speech,Silence,Core,91,"A body of words, and set of methods of combining them (called a grammar), understood by a community and used as a form of communication.",The faculty of uttering articulate sounds or words; the ability to speak or to use vocalizations to communicate.,The absence of any sound.
Lenient,寬大的/仁慈的,Mercy,Severe,Elite,91,A lenitive; an emollient.,Relenting; forbearance to cause or allow harm to another.,Very bad or intense.
Existence,存在。全是-e-。注意字尾-ence,Living,Death,Elite,91,"The state of being, existing, or occurring; beinghood.",To be alive; to have life.,"The cessation of life and all associated processes; the end of an organism's existence as an entity independent from its environment and its return to an inert, nonliving state."
Ridiculous,荒謬的,Absurd,Sensible,Core,92,Deserving of ridicule; foolish; absurd.,An absurdity.,Sensation; sensibility.
Provoke,激怒/挑釁,Annoy,Soothe,Core,92,To cause someone to become annoyed or angry.,A feeling of discomfort or vexation caused by what one dislikes.,"To restore to ease, comfort, or tranquility; relieve; calm; quiet; refresh."
Apprentice,學徒。雙P,Learner,Master,Core,92,"A trainee, especially in a skilled trade.",One who is learning.,Someone who has control over something or someone.
Capricious,反覆無常,Fickle,Steady,Elite,92,"Impulsive and unpredictable; determined by chance, impulse, or whim",Quick to change one’s opinion or allegiance; insincere; not loyal or reliable.,"A rest or support, as for the hand, a tool, or a piece of work."
Choreographer,編舞者,Dancemaker,,Elite,92,A person who choreographs.,,
Reluctant,不情願,Unwilling,Eager,Core,93,Opposing; offering resistance (to).,Not willing; reluctant,Sharp; sour; acid.
Promote,晉升/推廣,Advance,Demote,Core,93,"To raise (someone) to a more important, responsible, or remunerative job or rank.",A forward move; improvement or progression.,To lower the rank or status of.
Successful,成功的。雙C雙S,Victorious,Failing,Core,93,"Resulting in success; assuring, or promoting, success; accomplishing what was proposed; having the desired effect","Being the winner in a contest, struggle, war, etc.",To be unsuccessful.
Loquacious,多話,Talkative,Silent,Elite,93,Talkative; chatty.,Tending to talk a lot.,That which is silent; a time of silence.
Endeavour,努力(英式拼寫-our),Effort,Laziness,Elite,93,A sincere attempt; a determined or assiduous effort towards a specific goal; assiduous or persistent activity.,The work involved in performing an activity; exertion.,The quality of being lazy
Absurd,荒謬的。Ab-surd (不合理的),Ridiculous,Sensible,Core,94,An absurdity.,Deserving of ridicule; foolish; absurd.,Sensation; sensibility.
Advance,前進/進步,Progress,Retreat,Core,94,A forward move; improvement or progression.,"Movement or advancement through a series of events, or points in time; development through time.","The act of pulling back or withdrawing, as from something dangerous, or unpleasant."
Completely,完全地,Totally,Partly,Core,94,(manner) In a complete manner,To the fullest extent or degree.,"In part, or to some degree, but not completely."
Peril,危險,Danger,Safety,Elite,94,A situation of serious and immediate danger.,Exposure to likely harm; peril.,The condition or feeling of being safe; security; certainty.
Incorrigible,無可救藥,Hopeless,Fixed,Elite,94,An incorrigibly bad individual.,Without hope; despairing; not expecting anything positive.,To pierce; now generally replaced by transfix.
No one,沒有人。兩個字,Nobody,Everyone,Core,95,"Used in contrast to anyone, someone or everyone: not one person; nobody.",Someone who is not important or well-known.,Every person.
Paid,已付錢。Pay的過去式,,,Core,95,To give money or other compensation to in exchange for goods or services.,,
Sow,播種。與 Sew(縫) 同音,Plant,Harvest,Core,95,A female pig.,"An organism that is not an animal, especially an organism capable of photosynthesis. Typically a small or herbaceous organism of this kind, rather than a tree.",The third season of the year; autumn; fall.
Acquire,獲得。注意 -cq-,Obtain,Lose,Elite,95,To get.,"To get hold of; to gain possession of, to procure; to acquire, in any way.","To cause (something) to cease to be in one's possession or capability due to unfortunate or unknown circumstances, events or reasons."
Trifle,瑣事/少量,Trivia,Important,Elite,95,"An English dessert made from a mixture of thick custard, fruit, sponge cake, jelly and whipped cream.","Insignificant trifles of little importance, especially items of unimportant information",Having relevant and crucial value.
Bewildered,困惑的,Puzzled,Aware,Core,96,"To confuse, disorientate, or puzzle someone, especially with many different choices.",To perplex (someone).,Vigilant or on one's guard against danger or difficulty.
Coarse,粗糙的。不是 Course,Rough,Smooth,Core,96,Composed of large parts or particles; of inferior quality or appearance; not fine in material or close in texture.,The unmowed part of a golf course.,"Something that is smooth, or that goes smoothly and easily."
Latter,後者的。雙T,Second,Former,Core,96,Relating to or being the second of two items.,Something that is number two in a series.,Previous.
Divine,神聖的/非凡的,Holy,Earthly,Elite,96,One skilled in divinity; a theologian.,A thing that is extremely holy; used almost exclusively in Holy of Holies.,(collective or in the plural) That which is of the earth or earthly; a terrestrial being.
Compel,強迫,Force,Allow,Elite,96,"To drive together, round up",Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.,"To grant, give, admit, accord, afford, or yield; to let one have."
Deposit,存款/堆積物,Place,Withdraw,Core,97,Sediment or rock that is not native to its present location or is different from the surrounding material. Sometimes refers to ore or gems.,(physical) An area; somewhere within an area.,"To pull (something) back, aside, or away."
Immediate,立即。雙M。-ate字尾,Instant,Delayed,Core,97,"Happening right away, instantly, with no delay.",A very short period of time; a moment.,To put off until a later time; to defer.
Retain,保留/保持,Keep,Lose,Core,97,To keep in possession or use.,"The main tower of a castle or fortress, located within the castle walls.","To cause (something) to cease to be in one's possession or capability due to unfortunate or unknown circumstances, events or reasons."
Pronunciation,發音。中間沒有-o-,Diction,,Elite,97,The formal or informal way in which a word is made to sound when spoken.,"Choice and use of words, especially with regard to effective communication.",
